detector,descriptor,frame,lidar_ttc,image_ttc
FAST,AKAZE,15,7.88476,10.9649
FAST,AKAZE,16,9.37072,11.4374
FAST,AKAZE,17,9.33367,11.2758
FAST,AKAZE,18,9.21515,12.8561
FAST,SIFT,1,13.7365,12.8726
FAST,SIFT,2,11.5888,12.2506
FAST,SIFT,3,18.3729,16.3115
FAST,SIFT,4,12.4296,13.752
FAST,SIFT,5,13.4841,16.1505
FAST,SIFT,6,7.04164,13.0186
FAST,SIFT,7,51.4338,13.4417
FAST,SIFT,8,22.9753,13.6982
FAST,SIFT,9,12.1889,13.8295
FAST,SIFT,10,15.3122,14.6793
FAST,SIFT,11,9.91929,12.6791
FAST,SIFT,12,10.4633,11.9193
FAST,SIFT,13,9.16567,11.9426
FAST,SIFT,14,11.6992,11.7417
FAST,SIFT,15,7.88476,11.0932
FAST,SIFT,16,9.37072,11.2876
FAST,SIFT,17,9.33367,10.6995
FAST,SIFT,18,9.21515,11.8958
BRISK,BRISK,1,13.7365,13.1695
BRISK,BRISK,2,11.5888,23.3386
BRISK,BRISK,3,18.3729,14.17
BRISK,BRISK,4,12.4296,15.5553
BRISK,BRISK,5,13.4841,28.2616
BRISK,BRISK,6,7.04164,18.372
BRISK,BRISK,7,51.4338,18.6468
BRISK,BRISK,8,22.9753,16.6104
BRISK,BRISK,9,12.1889,13.9391
BRISK,BRISK,10,15.3122,13.3485
BRISK,BRISK,11,9.91929,12.3976
BRISK,BRISK,12,10.4633,11.2184
BRISK,BRISK,13,9.16567,11.8179
BRISK,BRISK,14,11.6992,12.1517
BRISK,BRISK,15,7.88476,12.4363
BRISK,BRISK,16,9.37072,11.3584
BRISK,BRISK,17,9.33367,9.27064
BRISK,BRISK,18,9.21515,10.9009
BRISK,AKAZE,1,13.7365,11.0392
BRISK,AKAZE,2,11.5888,11.4746
BRISK,AKAZE,3,18.3729,17.5451
BRISK,AKAZE,4,12.4296,9.72839
BRISK,AKAZE,5,13.4841,49.84
BRISK,AKAZE,6,7.04164,13.7398
BRISK,AKAZE,7,51.4338,11.7632
BRISK,AKAZE,8,22.9753,16.6053
BRISK,AKAZE,9,12.1889,15.9179
BRISK,AKAZE,10,15.3122,11.5928
BRISK,AKAZE,11,9.91929,13.1297
BRISK,AKAZE,12,10.4633,15.5937
BRISK,AKAZE,13,9.16567,13.4294
BRISK,AKAZE,14,11.6992,9.28688
BRISK,AKAZE,15,7.88476,13.1168
BRISK,AKAZE,16,9.37072,10.6487
BRISK,AKAZE,17,9.33367,10.5678
BRISK,AKAZE,18,9.21515,11.7393
BRISK,SIFT,1,13.7365,13.4086
BRISK,SIFT,2,11.5888,16.0636
BRISK,SIFT,3,18.3729,17.9948
BRISK,SIFT,4,12.4296,12.282
BRISK,SIFT,5,13.4841,29.6187
BRISK,SIFT,6,7.04164,15.7611
BRISK,SIFT,7,51.4338,13.7833
BRISK,SIFT,8,22.9753,15.5471
BRISK,SIFT,9,12.1889,16.641
BRISK,SIFT,10,15.3122,14.2428
BRISK,SIFT,11,9.91929,14.6157
BRISK,SIFT,12,10.4633,10.7868
BRISK,SIFT,13,9.16567,13.318
BRISK,SIFT,14,11.6992,11.1035
BRISK,SIFT,15,7.88476,13.7797
BRISK,SIFT,16,9.37072,10.7732
BRISK,SIFT,17,9.33367,10.214
BRISK,SIFT,18,9.21515,10.9313
BRISK,ORB,18,9.21515,18.187
ORB,BRISK,8,22.9753,-111.514
ORB,BRISK,9,12.1889,53.0467
ORB,BRISK,17,9.33367,23.4172
ORB,BRIEF,1,13.7365,23.9048
ORB,BRIEF,2,11.5888,67.2465
ORB,BRIEF,3,18.3729,72.9543
ORB,BRIEF,4,12.4296,15.6107
ORB,BRIEF,5,13.4841,22.1329
ORB,BRIEF,6,7.04164,13.2729
ORB,BRIEF,7,51.4338,-inf
ORB,BRIEF,8,22.9753,33.4266
ORB,BRIEF,9,12.1889,-inf
